date,home_team,away_team,home_win_rate,odds_1,home_team_prob,prob_used,EV_€_per_100,EV_live_€_per_100,win,home_team_won,pnl_100,home_ml_pnl_100
2026-03-16,NOP,DAL,0.55,1.28,0.583077548326522,0.583077548326522,,,1,1,28.000000000000004,28.000000000000004
2026-03-16,HOU,LAL,0.7,1.74,0.5774824853607479,0.5774824853607479,,,0,0,-100.0,-100.0
2026-03-16,BOS,PHO,0.7,1.25,0.6354455105669478,0.6354455105669478,,,1,1,25.0,25.0
2026-03-16,ATL,ORL,0.65,1.65,0.8188433318453234,0.8188433318453234,,,1,1,64.99999999999999,64.99999999999999
2026-03-17,NYK,IND,0.6,1.11,0.7517634913493751,0.7517634913493751,,,1,1,11.00000000000001,11.00000000000001
2026-03-17,MIN,PHO,0.65,1.65,0.5150019032213073,0.5150019032213073,,,1,1,64.99999999999999,64.99999999999999
2026-03-18,NOP,LAC,0.55,1.7,0.6260285111613384,0.6260285111613384,,,1,1,70.0,70.0
2026-03-18,MIN,UTA,0.65,1.12,0.6030267663539628,0.6030267663539628,,,1,1,12.00000000000001,12.00000000000001
2026-03-18,BOS,GSW,0.75,1.15,0.6543322945580058,0.6543322945580058,,,1,1,14.999999999999991,14.999999999999991
2026-03-19,SAS,PHO,0.75,1.21,0.7063897339338153,0.7063897339338153,,,1,1,20.999999999999996,20.999999999999996
2026-03-19,NOP,LAC,0.55,1.8,0.6052849259661932,0.6052849259661932,,,1,1,80.0,80.0
2026-03-19,MIA,LAL,0.65,1.46,0.5631928956434468,0.5631928956434468,,,0,0,-100.0,-100.0
2026-03-20,MIN,POR,0.65,1.74,0.5508085928606935,0.5508085928606935,,,0,0,-100.0,-100.0
2026-03-20,DET,GSW,0.7,1.49,0.7102166144024736,0.7102166144024736,,,1,1,49.0,49.0
2026-03-20,DEN,TOR,0.55,1.36,0.5651722656754273,0.5651722656754273,,,1,1,36.00000000000001,36.00000000000001
2026-03-21,PHO,MIL,0.6,1.17,0.7660932410795799,0.7660932410795799,,,0,0,-100.0,-100.0
2026-03-21,ORL,LAL,0.6,2.3,0.516059966078806,0.516059966078806,,,0,0,-100.0,-100.0
2026-03-21,ATL,GSW,0.7,1.21,0.7733905511821632,0.7733905511821632,,,1,1,20.999999999999996,20.999999999999996
2026-03-22,PHO,TOR,0.55,2.36,0.7224429936355161,0.7224429936355161,,,1,1,136.0,136.0
2026-03-22,BOS,MIN,0.75,1.24,0.6935687773679482,0.6935687773679482,,,0,0,-100.0,-100.0
2026-03-23,POR,BRK,0.65,1.11,0.6157856370926462,0.6157856370926462,,,1,1,11.00000000000001,11.00000000000001
2026-03-23,ORL,IND,0.6,1.12,0.6634416903125985,0.6634416903125985,,,0,0,-100.0,-100.0
2026-03-23,LAC,MIL,0.65,1.12,0.5418650932536486,0.5418650932536486,,,1,1,12.00000000000001,12.00000000000001
2026-03-23,DET,LAL,0.7,2.02,0.5937385151935345,0.5937385151935345,,,1,1,102.0,102.0
2026-03-23,ATL,MEM,0.75,1.11,0.8000793222360767,0.8000793222360767,,,1,1,11.00000000000001,11.00000000000001
2026-03-24,NYK,NOP,0.65,1.25,0.7956509330292143,0.7956509330292143,,,1,1,25.0,25.0
2026-03-24,CLE,ORL,0.65,1.21,0.6343119316830816,0.6343119316830816,,,1,1,20.999999999999996,20.999999999999996
2026-03-25,POR,MIL,0.65,1.13,0.6744846243096076,0.6744846243096076,,,1,1,12.99999999999999,12.99999999999999
2026-03-25,PHI,CHI,0.55,1.41,0.5861628236845934,0.5861628236845934,,,1,1,40.99999999999999,40.99999999999999
2026-03-25,LAC,TOR,0.65,1.56,0.6148021848174126,0.6148021848174126,,,1,1,56.00000000000001,56.00000000000001
2026-03-25,DET,ATL,0.75,1.77,0.656959083441213,0.656959083441213,,,0,0,-100.0,-100.0
2026-03-25,DEN,DAL,0.6,1.15,0.57786419742183,0.57786419742183,,,1,1,14.999999999999991,14.999999999999991
2026-03-25,CLE,MIA,0.7,1.68,0.6773072497167854,0.6773072497167854,,,0,0,-100.0,-100.0
2026-03-25,BOS,OKC,0.7,2.2,0.6114481888481633,0.6114481888481633,,,1,1,120.00000000000001,120.00000000000001
2026-03-26,DET,NOP,0.7,1.57,0.7054523454784379,0.7054523454784379,,,1,1,57.00000000000001,57.00000000000001
2026-03-26,CHO,NYK,0.55,1.83,0.6392538770022165,0.6392538770022165,,,1,1,83.0,83.0
2026-03-27,POR,DAL,0.65,1.21,0.7848718157283955,0.7848718157283955,,,0,0,-100.0,-100.0
2026-03-27,CLE,MIA,0.7,1.46,0.5894679315084028,0.5894679315084028,,,1,1,46.0,46.0
2026-03-27,BOS,ATL,0.7,1.49,0.7355333102325543,0.7355333102325543,,,1,1,49.0,49.0
2026-03-28,MIN,DET,0.65,2.05,0.5381068306793373,0.5381068306793373,,,0,0,-100.0,-100.0
2026-03-28,CHO,PHI,0.6,1.43,0.6194000067661452,0.6194000067661452,,,0,0,-100.0,-100.0
2026-03-28,ATL,SAC,0.75,1.1,0.6695101639897169,0.6695101639897169,,,1,1,10.000000000000009,10.000000000000009
2026-03-29,TOR,ORL,0.55,1.77,0.5008188683844691,0.5008188683844691,,,1,1,77.0,77.0
2026-03-29,OKC,NYK,0.75,1.28,0.7601787025220405,0.7601787025220405,,,1,1,28.000000000000004,28.000000000000004
2026-03-29,DEN,GSW,0.65,1.15,0.6283482166202733,0.6283482166202733,,,1,1,14.999999999999991,14.999999999999991
2026-03-30,OKC,DET,0.75,1.14,0.7143147894047326,0.7143147894047326,,,1,1,13.99999999999999,13.99999999999999
2026-03-30,ATL,BOS,0.75,1.82,0.5701749245725818,0.5701749245725818,,,1,1,82.0,82.0
2026-03-31,DET,TOR,0.7,1.7,0.5682565527784386,0.5682565527784386,,,1,1,70.0,70.0
2026-03-31,HOU,NYK,0.65,1.93,0.6361156976350337,0.6361156976350337,,,1,1,93.0,93.0
2026-03-31,LAC,POR,0.65,1.44,0.659604862341021,0.659604862341021,,,0,0,-100.0,-100.0
2026-03-31,LAL,CLE,0.75,1.77,0.6230388963999735,0.6230388963999735,,,1,1,77.0,77.0
2026-04-01,TOR,SAC,0.55,1.15,0.6894131439042477,0.6894131439042477,,,0,0,-100.0,-100.0
2026-04-02,POR,NOP,0.6,1.4,0.750933638056883,0.750933638056883,,,1,1,39.99999999999999,39.99999999999999
2026-04-02,OKC,LAL,0.75,1.28,0.6760672318116105,0.6760672318116105,,,1,1,28.000000000000004,28.000000000000004
2026-04-02,LAC,SAS,0.65,2.42,0.5876209759357499,0.5876209759357499,,,0,0,-100.0,-100.0
2026-04-02,DET,MIN,0.75,1.62,0.6827535773534833,0.6827535773534833,,,1,1,62.000000000000014,62.000000000000014
2026-04-02,CHO,PHO,0.6,1.43,0.5865320136767539,0.5865320136767539,,,1,1,42.99999999999999,42.99999999999999
2026-04-03,PHI,MIN,0.6,1.74,0.6342918941234155,0.6342918941234155,,,1,1,74.0,74.0
2026-04-03,NYK,CHI,0.65,1.1,0.8076802636886403,0.8076802636886403,,,1,1,10.000000000000009,10.000000000000009
2026-04-04,PHI,DET,0.6,2.3,0.6357483101654647,0.6357483101654647,,,0,0,-100.0,-100.0
2026-04-05,BOS,TOR,0.75,1.22,0.6952947543007686,0.6952947543007686,,,1,1,21.999999999999996,21.999999999999996
2026-04-05,MIN,CHO,0.6,2.36,0.5708990190996368,0.5708990190996368,,,0,0,-100.0,-100.0
2026-04-06,SAS,PHI,0.85,1.27,0.8675652648082489,0.8675652648082489,,,1,1,27.0,27.0
2026-04-06,ATL,NYK,0.8,1.83,0.5083235855187888,0.5083235855187888,,,0,0,-100.0,-100.0
2026-04-06,DEN,POR,0.65,1.31,0.5658499134936976,0.5658499134936976,,,1,1,31.000000000000007,31.000000000000007
2026-04-07,BOS,CHO,0.75,1.49,0.7045891493338056,0.7045891493338056,,,1,1,49.0,49.0
2026-04-07,LAC,DAL,0.6,1.16,0.6321788339240717,0.6321788339240717,,,1,1,15.999999999999993,15.999999999999993
2026-04-08,SAS,POR,0.9,1.6,0.8008755615806333,0.8008755615806333,,,1,1,60.00000000000001,60.00000000000001
2026-04-08,CLE,ATL,0.7,1.83,0.6460100498819936,0.6460100498819936,,,1,1,83.0,83.0
2026-04-09,TOR,MIA,0.55,1.62,0.7335506869382201,0.7335506869382201,,,1,1,62.000000000000014,62.000000000000014
2026-04-09,HOU,PHI,0.65,1.57,0.710296412436941,0.710296412436941,,,1,1,57.00000000000001,57.00000000000001
2026-04-09,NYK,BOS,0.65,1.54,0.6592995801016032,0.6592995801016032,,,1,1,54.0,54.0
2026-04-10,CHO,DET,0.7,1.49,0.567113586848936,0.567113586848936,,,0,0,-100.0,-100.0
2026-04-10,DEN,OKC,0.7,1.17,0.6552931889404394,0.6552931889404394,,,1,1,16.999999999999993,16.999999999999993
2026-04-10,ATL,CLE,0.8,1.29,0.6588060671307508,0.6588060671307508,,,1,1,29.000000000000004,29.000000000000004
2026-04-10,POR,LAC,0.6,1.87,0.769388782590501,0.769388782590501,,,1,1,87.00000000000001,87.00000000000001
2026-04-10,NYK,TOR,0.7,1.43,0.5753458885958648,0.5753458885958648,,,1,1,42.99999999999999,42.99999999999999
2026-04-10,LAL,PHO,0.75,2.2,0.5549287246298479,0.5549287246298479,,,1,1,120.00000000000001,120.00000000000001
2026-04-10,HOU,MIN,0.65,1.21,0.6152080647390737,0.6152080647390737,,,0,0,-100.0,-100.0
2026-04-12,BOS,ORL,0.8,2.4,0.6704822297297395,0.6704822297297395,,,1,1,140.0,140.0
2026-04-12,OKC,PHO,0.8,1.4,0.705017675016682,0.705017675016682,,,0,0,-100.0,-100.0
2026-04-12,HOU,MEM,0.65,1.12,0.7280369604840883,0.7280369604840883,,,1,1,12.00000000000001,12.00000000000001
2026-04-12,LAC,GSW,0.55,1.28,0.5209340765020227,0.5209340765020227,,,1,1,28.000000000000004,28.000000000000004
2026-04-12,SAS,DEN,0.9,1.2,0.7826131815549777,0.7826131815549777,,,0,0,-100.0,-100.0
2026-04-14,CHO,MIA,0.65,1.42,0.5650934481159277,0.5650934481159277,,,1,1,41.99999999999999,41.99999999999999
2026-04-15,PHI,ORL,0.65,1.8,0.6804090412353525,0.6804090412353525,,,1,1,80.0,80.0
2026-04-15,LAC,GSW,0.55,1.49,0.5407380423638445,0.5407380423638445,,,0,0,-100.0,-100.0
2026-04-17,ORL,CHO,0.6,2.36,0.5422893225818929,0.5422893225818929,,,1,1,136.0,136.0
2026-04-18,NYK,ATL,0.7,1.4,0.8139755912454192,0.8139755912454192,,,1,1,39.99999999999999,39.99999999999999
2026-04-18,DEN,MIN,0.75,1.48,0.6905812327278177,0.6905812327278177,,,1,1,48.0,48.0
2026-04-19,DET,ORL,0.75,1.27,0.6217052641419785,0.6217052641419785,,,0,0,-100.0,-100.0
2026-04-19,BOS,PHI,0.8,1.12,0.6457126999229369,0.6457126999229369,,,1,1,12.00000000000001,12.00000000000001
2026-04-20,NYK,ATL,0.75,1.4,0.6650556295866535,0.6650556295866535,,,0,0,-100.0,-100.0
2026-04-20,CLE,TOR,0.75,1.27,0.686875962956885,0.686875962956885,,,1,1,27.0,27.0
2026-04-20,DEN,MIN,0.8,1.35,0.7757866488313414,0.7757866488313414,,,0,0,-100.0,-100.0
2026-04-21,BOS,PHI,0.85,1.12,0.8046432952420897,0.8046432952420897,,,0,0,-100.0,-100.0
2026-04-21,LAL,HOU,0.75,2.6,0.6092838568300003,0.6092838568300003,,,1,1,160.0,160.0
2026-04-21,SAS,POR,0.85,1.14,0.7291718944164959,0.7291718944164959,,,0,0,-100.0,-100.0
2026-04-22,DET,ORL,0.7,1.25,0.6406470279323985,0.6406470279323985,,,1,1,25.0,25.0
2026-04-23,TOR,CLE,0.55,2.3,0.5498725605210177,0.5498725605210177,,,1,1,129.99999999999997,129.99999999999997
2026-04-23,ATL,NYK,0.8,2.02,0.6589416652742748,0.6589416652742748,,,1,1,102.0,102.0
2026-04-24,POR,SAS,0.65,2.2,0.7425508973513372,0.7425508973513372,,,0,0,-100.0,-100.0
2026-04-24,HOU,LAL,0.65,1.29,0.6157005427487717,0.6157005427487717,,,0,0,-100.0,-100.0
2026-04-25,MIN,DEN,0.6,2.02,0.5562880719316893,0.5562880719316893,,,1,1,102.0,102.0
2026-04-25,ATL,NYK,0.8,2.1,0.6755375991455155,0.6755375991455155,,,0,0,-100.0,-100.0
2026-04-25,ORL,DET,0.65,2.14,0.5993764487082905,0.5993764487082905,,,1,1,114.00000000000001,114.00000000000001
2026-04-26,HOU,LAL,0.65,1.54,0.6237926764128771,0.6237926764128771,,,1,1,54.0,54.0
2026-04-26,TOR,CLE,0.55,2.42,0.6733885978348959,0.6733885978348959,,,1,1,142.0,142.0
2026-04-27,DEN,MIN,0.75,1.2,0.6206646562121827,0.6206646562121827,,,1,1,19.999999999999996,19.999999999999996
2026-04-27,ORL,DET,0.65,2.3,0.6818566900098638,0.6818566900098638,,,1,1,129.99999999999997,129.99999999999997
2026-04-28,SAS,POR,0.8,1.17,0.7191577778244881,0.7191577778244881,,,1,1,16.999999999999993,16.999999999999993
2026-04-28,NYK,ATL,0.75,1.4,0.7126735146996618,0.7126735146996618,,,1,1,39.99999999999999,39.99999999999999
2026-04-28,BOS,PHI,0.8,1.18,0.6123950825325944,0.6123950825325944,,,0,0,-100.0,-100.0
2026-04-29,CLE,TOR,0.75,1.25,0.5522299583443305,0.5522299583443305,,,1,1,25.0,25.0
2026-04-29,DET,ORL,0.75,1.25,0.6772715290772986,0.6772715290772986,,,1,1,25.0,25.0
2026-04-29,LAL,HOU,0.8,1.54,0.5347893720993147,0.5347893720993147,,,0,0,-100.0,-100.0
2026-05-01,TOR,CLE,0.6,2.45,0.7658646278080328,0.7658646278080328,,,1,1,145.00000000000003,145.00000000000003
2026-05-01,ORL,DET,0.65,2.36,0.5802346066524035,0.5802346066524035,,,0,0,-100.0,-100.0
2026-05-01,HOU,LAL,0.7,1.59,0.5320007383609971,0.5320007383609971,,,0,0,-100.0,-100.0
2026-05-02,BOS,PHI,0.75,1.38,0.6405220181591772,0.6405220181591772,,,0,0,-100.0,-100.0
2026-05-03,DET,ORL,0.75,1.31,0.6938677935355669,0.6938677935355669,,,1,1,31.000000000000007,31.000000000000007
2026-05-03,CLE,TOR,0.8,1.34,0.5275021187188095,0.5275021187188095,,,1,1,34.00000000000001,34.00000000000001
2026-05-04,NYK,PHI,0.75,1.34,0.7870263787739201,0.7870263787739201,,,1,1,34.00000000000001,34.00000000000001
2026-05-04,SAS,MIN,0.85,1.2,0.6249161510148495,0.6249161510148495,,,0,0,-100.0,-100.0
2026-05-05,DET,CLE,0.75,1.68,0.656437841840934,0.656437841840934,,,1,1,68.0,68.0
2026-05-05,OKC,LAL,0.8,1.11,0.6798859703888357,0.6798859703888357,,,1,1,11.00000000000001,11.00000000000001
2026-05-06,NYK,PHI,0.75,1.34,0.8065014290970405,0.8065014290970405,,,1,1,34.00000000000001,34.00000000000001
2026-05-06,SAS,MIN,0.8,1.25,0.7068294575395369,0.7068294575395369,,,1,1,25.0,25.0
2026-05-07,DET,CLE,0.75,1.62,0.6532357327973056,0.6532357327973056,,,1,1,62.000000000000014,62.000000000000014
2026-05-07,OKC,LAL,0.85,1.11,0.811551042147728,0.811551042147728,,,1,1,11.00000000000001,11.00000000000001
2026-05-08,PHI,NYK,0.65,1.82,0.5855886881764708,0.5855886881764708,,,0,0,-100.0,-100.0
2026-05-12,SAS,MIN,0.8,1.26,0.688506195469906,0.688506195469906,,,1,1,26.0,26.0
2026-05-13,DET,CLE,0.8,1.56,0.504711586553746,0.504711586553746,,,0,0,-100.0,-100.0
2026-05-15,CLE,DET,0.85,1.57,0.6188057090201048,0.6188057090201048,,,0,0,-100.0,-100.0
2026-05-15,MIN,SAS,0.65,2.6,0.5094336907913627,0.5094336907913627,,,0,0,-100.0,-100.0
2026-05-17,DET,CLE,0.75,1.56,0.6408278423179323,0.6408278423179323,,,0,0,-100.0,-100.0
2026-05-18,OKC,SAS,0.85,1.41,0.5261374567095911,0.5261374567095911,,,0,0,-100.0,-100.0
2026-05-19,NYK,CLE,0.75,1.38,0.7620023524204657,0.7620023524204657,,,1,1,37.999999999999986,37.999999999999986
2026-05-20,OKC,SAS,0.8,1.42,0.5925200799748186,0.5925200799748186,,,1,1,41.99999999999999,41.99999999999999
2026-05-21,NYK,CLE,0.75,1.46,0.7745430254473508,0.7745430254473508,,,1,1,46.0,46.0
2026-05-22,SAS,OKC,0.8,1.8,0.7121002721478685,0.7121002721478685,,,0,0,-100.0,-100.0
2026-05-23,CLE,NYK,0.8,1.74,0.5913714810225579,0.5913714810225579,,,0,0,-100.0,-100.0
2026-05-24,SAS,OKC,0.75,1.7,0.7303022488505013,0.7303022488505013,,,1,1,70.0,70.0
2026-05-25,CLE,NYK,0.75,2.2,0.5284811157730231,0.5284811157730231,,,0,0,-100.0,-100.0
2026-05-26,OKC,SAS,0.85,1.59,0.564078259323867,0.564078259323867,,,1,1,59.00000000000001,59.00000000000001
2026-05-28,SAS,OKC,0.75,1.62,0.6964650151190225,0.6964650151190225,,,1,1,62.000000000000014,62.000000000000014
